Name,Type,Category,Effect,Power,Acc,PP
"10,000,000 Volt Thunderbolt",Electric,Special,Pikachu-exclusive Z-Move.,195,-,1
Absorb,Grass,Special,User recovers half the HP inflicted on opponent.,20,100,25
Accelerock,Rock,Physical,User attacks first.,40,100,20
Acid,Poison,Special,May lower opponent's Special Defense.,40,100,30
Acid Armor,Poison,Status,Sharply raises user's Defense.,-,-,20
Acid Downpour,Poison,Z-Move,Poison type Z-Move.,-,-,1
Acid Spray,Poison,Special,Sharply lowers opponent's Special Defense.,40,100,20
Acrobatics,Flying,Physical,Stronger when the user does not have a held item.,55,100,15
Acupressure,Normal,Status,Sharply raises a random stat.,-,-,30
Aerial Ace,Flying,Physical,Ignores Accuracy and Evasiveness.,60,∞,20
Aeroblast,Flying,Special,High critical hit ratio.,100,95,5
After You,Normal,Status,Gives target priority in the next turn.,-,-,15
Agility,Psychic,Status,Sharply raises user's Speed.,-,-,30
Air Cutter,Flying,Special,High critical hit ratio.,60,95,25
Air Slash,Flying,Special,May cause flinching.,75,95,20
All-Out Pummeling,Fighting,Z-Move,Fighting type Z-Move.,-,-,1
Ally Switch,Psychic,Status,User switches with opposite teammate.,-,-,15
Amnesia,Psychic,Status,Sharply raises user's Special Defense.,-,-,20
Anchor Shot,Steel,Physical,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,80,100,20
Ancient Power,Rock,Special,May raise all user's stats at once.,60,100,5
Aqua Jet,Water,Physical,User attacks first.,40,100,20
Aqua Ring,Water,Status,Restores a little HP each turn.,-,-,20
Aqua Tail,Water,Physical,,90,90,10
Arm Thrust,Fighting,Physical,Hits 2-5 times in one turn.,15,100,20
Aromatherapy,Grass,Status,Cures all status problems in your party.,-,-,5
Aromatic Mist,Fairy,Status,Raises Special Defense of allies.,-,-,20
Assist,Normal,Status,User performs a move known by its allies at random.,-,-,20
Assurance,Dark,Physical,Power doubles if opponent already took damage in the same turn.,60,100,10
Astonish,Ghost,Physical,May cause flinching.,30,100,15
Attack Order,Bug,Physical,High critical hit ratio.,90,100,15
Attract,Normal,Status,"If opponent is the opposite gender, it's less likely to attack.",-,100,15
Aura Sphere,Fighting,Special,Ignores Accuracy and Evasiveness.,80,∞,20
Aurora Beam,Ice,Special,May lower opponent's Attack.,65,100,20
